iter	MultiClass
179	0.2489178027
180	0.2486304503
181	0.2483602342
182	0.2479938726
183	0.2477826583
184	0.2475449394
185	0.2472799415
186	0.247000002
187	0.2467773673
188	0.2463041276
189	0.2460419463
190	0.2455476317
191	0.2450117043
192	0.2446733356
193	0.2439153764
194	0.2437163506
195	0.2434210095
196	0.2429555603
197	0.2398240602
198	0.2395618831
199	0.2393516875
200	0.238982028
201	0.2385240562
202	0.2382009828
203	0.2379332988
204	0.2377475616
205	0.2375038755
206	0.2372746369
207	0.2368488323
208	0.2366249261
209	0.2363098546
210	0.2360977021
211	0.2358867834
212	0.2353276568
213	0.2350794474
214	0.2347537791
215	0.2340267926
216	0.2337433328
217	0.2335435243
218	0.2333183951
219	0.2330103419
220	0.2326596673
221	0.2323716219
222	0.2321293621
223	0.2319285634
224	0.2316838662
225	0.2314578885
226	0.2312696301
227	0.2308379352
228	0.2306346797
229	0.2301733004
230	0.2297484306
231	0.2295191382
232	0.2292680252
233	0.2290558908
234	0.2288103469
235	0.2285627818
236	0.2282220082
237	0.2279711111
238	0.2277868175
239	0.225180771
240	0.2246662167
241	0.2244729428
242	0.2242868211
243	0.224126289
244	0.2239263584
245	0.2236773057
246	0.2235399948
247	0.2232893914
248	0.2231000822
249	0.2228213594
250	0.2224753555
251	0.2221028577
252	0.2218547853
253	0.2216014443
254	0.2213697309
255	0.2211073121
256	0.2209253434
257	0.2206784688
258	0.2204949652
259	0.2203041872
260	0.2199798389
261	0.2196119146
262	0.2194034985
263	0.2192076857
264	0.2190206882
265	0.2188094386
266	0.2186181137
267	0.2184041823
268	0.2177589571
269	0.2175525578
270	0.2173603812
271	0.2170593551
272	0.2168189288
273	0.2134397752
274	0.2131996931
275	0.2130522838
276	0.2128621352
277	0.2126810081
278	0.2123448796
279	0.2121914745
280	0.211660575
281	0.2114552983
282	0.2112918923
283	0.210624072
284	0.2103739754
285	0.2102146671
286	0.2099959754
287	0.2098172168
288	0.2096263655
289	0.209426454
290	0.2092182587
291	0.2090708555
292	0.2077650608
293	0.2075614832
294	0.2073674898
295	0.2071556827
296	0.2069332361
297	0.2067188142
298	0.2065590108
299	0.2063957099
300	0.2060082238
301	0.2057331459
302	0.2055370222
303	0.2053519001
304	0.2051377426
305	0.2049807328
306	0.2047152577
307	0.2044789407
308	0.2043316153
309	0.2031739468
310	0.2029922802
311	0.202848513
312	0.202715026
313	0.2025148674
314	0.2022977492
315	0.2020535182
316	0.2018786149
317	0.2016831063
318	0.2014898347
319	0.2013348886
320	0.2011861764
321	0.2008921038
322	0.2004685281
323	0.20019954
324	0.2000623854
325	0.1999181565
326	0.1996845197
327	0.1994791721
328	0.1993399715
329	0.199178612
330	0.1989680341
331	0.1987303661
332	0.1985439013
333	0.1984002789
334	0.1982476758
335	0.1980980353
336	0.1975345538
337	0.197343622
338	0.197197017
339	0.1970627682
340	0.1968947362
341	0.1966845494
342	0.1965693683
343	0.1963737569
344	0.1959558636
345	0.1958026706
346	0.1956471639
347	0.1955081373
348	0.1950941447
349	0.1949430789
350	0.194776992
351	0.1946022485
352	0.1944520028
353	0.1942949975
354	0.1931333466
355	0.1930028532
356	0.1928423074
357	0.192720031
358	0.192581963
359	0.1923469528
360	0.1921626141
361	0.192016323
362	0.1918534608
363	0.1916623164
364	0.1914845192
365	0.1912671772
366	0.1911410005
367	0.1909563739
368	0.1907733024
369	0.1906283959
370	0.1904863646
371	0.1903433109
372	0.1901851581
373	0.1899643829
374	0.1898168032
375	0.1896464873
376	0.189530406
377	0.189366199
378	0.1892347882
379	0.188995899
380	0.1888293696
381	0.1886788572
382	0.1885145127
383	0.1882886027
384	0.187832535
385	0.1876916058
386	0.1875694037
387	0.1873910139
388	0.187243409
389	0.187092099
390	0.1869494734
391	0.1868362843
392	0.1867241077
393	0.1865950985
394	0.1864813185
395	0.186279848
396	0.1861350534
397	0.1860174521
398	0.1858613157
399	0.1855923407
400	0.1854818277
401	0.1853234242
402	0.1850967054
403	0.1849532682
404	0.1847742688
405	0.1846389505
406	0.1845152895
407	0.1843792251
408	0.1841934907
409	0.1840735274
410	0.1836809355
411	0.1835081745
412	0.1833453974
413	0.1832267242
414	0.1831034144
415	0.1829576379
416	0.1827179343
417	0.1825847037
418	0.1824390071
419	0.1822349529
420	0.1821262127
421	0.1819349555
422	0.1817864766
423	0.1815530107
424	0.1810313736
425	0.180910908
426	0.1807387047
427	0.1806272227
428	0.180468568
429	0.1803488385
430	0.1802012876
431	0.1797610429
432	0.1794113505
433	0.1791644715
434	0.1789643949
435	0.1788229105
436	0.1786882401
437	0.1785579273
438	0.1784478982
439	0.1782484379
440	0.1780601839
441	0.1779302885
442	0.1777184396
443	0.1775730673
444	0.177424341
445	0.1773011484
446	0.1770765243
447	0.1769276792
448	0.1768293807
449	0.1767348688
450	0.1765638355
451	0.1763911708
452	0.1761986111
453	0.1760595352
454	0.175917334
455	0.1757438347
456	0.1756364479
457	0.1755131862
458	0.1754027583
459	0.1752868192
460	0.1751884536
461	0.175044826
462	0.1748553372
463	0.1746426193
464	0.174505521
465	0.1743635609
466	0.1741765529
467	0.1740635067
468	0.1739157167
469	0.1736071242
470	0.1734905828
471	0.1732882601
472	0.1731861785
473	0.1730865944
474	0.1729695342
475	0.1728368818
476	0.1726711492
477	0.17254824
478	0.1724534449
479	0.1723090341
480	0.1722055921
481	0.1718471192
482	0.171738538
483	0.1716308793
484	0.1710248268
485	0.1708781405
486	0.1707684161
487	0.1706473522
488	0.1705284226
489	0.1703969247
490	0.1702868274
491	0.1701927372
492	0.170042087
493	0.1699340537
494	0.1698248015
495	0.1688936986
496	0.1687571719
497	0.168618271
498	0.1685119411
499	0.1684066627
500	0.1677190417
501	0.1676242977
502	0.1673081155
503	0.1672025383
504	0.1667256831
505	0.1665262942
506	0.1664200332
507	0.1662782902
508	0.1661095953
509	0.1659870946
510	0.1658431683
511	0.1656625128
512	0.1654545305
513	0.1653514216
514	0.1652446593
515	0.16508611
516	0.164928483
517	0.1648276398
518	0.1646535591
519	0.1645447632
520	0.1644221096
521	0.164258453
522	0.1641507702
523	0.1639668611
524	0.1637933984
525	0.1636588816
526	0.1635622571
527	0.1634568848
528	0.1632374819
529	0.1630410221
530	0.1629006499
531	0.1627398607
532	0.1625792317
533	0.1624826086
534	0.1623003729
535	0.1622099178
536	0.1621147172
537	0.1619337987
538	0.1618495018
539	0.1616379087
540	0.1615549182
541	0.1614018738
542	0.1611549929
543	0.1609547835
544	0.1608388842
545	0.1607454588
546	0.1606579787
547	0.1605163654
548	0.1582207292
549	0.1581234927
550	0.1580381878
551	0.1579419825
552	0.1578387434
553	0.1577065009
554	0.1575945676
555	0.1574564281
556	0.1573389721
557	0.1572328301
558	0.1571217818
559	0.1569096298
560	0.1568289266
561	0.1566666108
562	0.1565527827
563	0.1564580673
564	0.1563318972
565	0.1556078695
566	0.1554817871
567	0.1553837001
568	0.1552819283
569	0.1551394579
570	0.1549447574
571	0.1548271964
572	0.1547365205
573	0.1545903794
574	0.154470394
575	0.1543569702
576	0.1541963323
577	0.1540278838
578	0.153910036
579	0.1538119646
580	0.1537355693
581	0.1535965904
582	0.153222129
