iter	MultiClass
0	1.317881652
1	1.152829412
2	1.020608124
3	0.924734176
4	0.8484654543
5	0.789102678
6	0.7380047842
7	0.6940921718
8	0.655889721
9	0.6208375073
10	0.5949843222
11	0.5734367866
12	0.5527351086
13	0.536525373
14	0.5218917609
15	0.506414632
16	0.4944306132
17	0.4835189948
18	0.4770496601
19	0.4663341535
20	0.4594283401
21	0.4520428262
22	0.4435400425
23	0.4404009235
24	0.4329914922
25	0.4262629614
26	0.4235293955
27	0.4205298981
28	0.4157398653
29	0.4137620946
30	0.4093014599
31	0.4068186616
32	0.4004771968
33	0.3979345855
34	0.3956984599
35	0.3930524557
36	0.3906574872
37	0.3848044712
38	0.3816469703
39	0.379527638
40	0.3768640534
41	0.3760163971
42	0.373554554
43	0.3721905218
44	0.3693185146
45	0.3678680124
46	0.3666280329
47	0.3643792128
48	0.3618547739
49	0.3601954559
50	0.35722511
51	0.3557050234
52	0.3548056555
53	0.3527568138
54	0.351321306
55	0.349370141
56	0.3485916903
57	0.3472699136
58	0.3460706271
59	0.3419569721
60	0.3401345091
61	0.3380293372
62	0.3369285124
63	0.3359054528
64	0.3340088181
65	0.3325786383
66	0.3316067579
67	0.330385463
68	0.3286573533
69	0.3274496786
70	0.3262305658
71	0.3252681227
72	0.3238721662
73	0.3227952793
74	0.3219354005
75	0.3200484833
76	0.3189202838
77	0.3184382383
78	0.3171485906
79	0.3161228515
80	0.3144486524
81	0.3130103302
82	0.3119161221
83	0.3108448467
84	0.3093094479
85	0.3084930196
86	0.3075660802
87	0.306364744
88	0.3054286505
89	0.3044088101
90	0.3033761447
91	0.3022557147
92	0.3014835328
93	0.300721751
94	0.3000317317
95	0.2989141201
96	0.2981714339
97	0.2977151005
98	0.2967713192
99	0.2960880785
100	0.2954890748
101	0.294726384
102	0.2936941667
103	0.2929397243
104	0.2921548496
105	0.2914992917
106	0.2909915899
107	0.290447562
108	0.2899062709
109	0.2891029988
110	0.2882221565
111	0.2877422088
112	0.2872260344
113	0.2866631277
114	0.2858614283
115	0.2832341632
116	0.2826519766
117	0.2817719486
118	0.2812789262
119	0.2807445502
120	0.2803057647
121	0.2794679255
122	0.2752558195
123	0.2745052513
124	0.273893567
125	0.2734363298
126	0.2729686019
127	0.2724621551
128	0.2719290383
129	0.2713660501
130	0.2707584417
131	0.2702784827
132	0.2697328671
133	0.2692842355
134	0.2687910378
135	0.2683784567
136	0.2679132498
137	0.2674886037
138	0.2670446139
139	0.2667586617
140	0.266303932
141	0.2658932895
142	0.2652616663
143	0.26492687
144	0.2645668046
145	0.2641282173
146	0.2637012851
147	0.2633106853
148	0.2628786125
149	0.2625727883
150	0.2622164076
151	0.2618090475
152	0.2614769796
153	0.2608816288
154	0.2605876433
155	0.260346226
156	0.2598934607
157	0.2596395047
158	0.2594152636
159	0.2588549965
160	0.2583413232
161	0.2578408871
162	0.2575420848
163	0.2568007998
164	0.2564649608
165	0.2559932315
166	0.2556332986
167	0.2551893065
168	0.2548880774
169	0.2527119218
170	0.2522223024
171	0.251869022
172	0.2513155441
173	0.2510274491
174	0.250606509
175	0.2503507104
176	0.2499649571
177	0.2497447495
178	0.2491358716
